phase,replicate,trial_id,scenario_id,received_mask,arrival_order,method_order
pilot,0,2,iid_p60,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,shared_risk_matched_p20,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p15,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p40,5,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p55,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p45,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p10,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p20,13,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p35,13,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p00,31,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p50,1,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p25,13,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,2,iid_p05,15,E1|L1|E2|G1|L2,rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native
pilot,0,3,iid_p05,31,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p60,0,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p45,24,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p10,31,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p55,0,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p30,30,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,heterogeneous_example,27,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p20,30,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p40,24,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p00,31,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,shared_risk_matched_p20,31,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p35,26,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p50,0,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p15,31,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,3,iid_p25,30,E2|E1|L1|L2|G1,gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check
pilot,0,4,iid_p10,31,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p60,12,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p45,13,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p15,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p40,13,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,shared_risk_matched_p20,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p50,13,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p35,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p00,31,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p30,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p55,13,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p20,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p05,31,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,heterogeneous_example,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,4,iid_p25,29,L1|E1|L2|E2|G1,gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5
pilot,0,5,iid_p00,31,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p20,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,heterogeneous_example,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p45,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p50,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p25,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p55,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p35,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p15,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p40,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p60,20,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,shared_risk_matched_p20,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p10,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p05,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,5,iid_p30,29,L1|L2|E1|G1|E2,rs_3_5|replication|shamir_3_5|gatl_gateway|native|rs_2_5_gateway_check|gatl_uniform_3_5
pilot,0,6,iid_p25,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p10,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,shared_risk_matched_p20,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p50,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p40,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p30,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,heterogeneous_example,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p60,18,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p45,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p20,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p00,31,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p05,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p55,18,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p35,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,6,iid_p15,27,G1|L2|E1|L1|E2,native|rs_2_5_gateway_check|gatl_uniform_3_5|rs_3_5|replication|shamir_3_5|gatl_gateway
pilot,0,7,iid_p20,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,shared_risk_matched_p20,24,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p40,25,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p35,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p05,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p15,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,heterogeneous_example,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p45,25,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p60,25,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p55,25,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p10,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p25,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p00,31,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p50,25,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,7,iid_p30,29,L2|L1|E2|E1|G1,gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5
pilot,0,8,iid_p60,1,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p30,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,shared_risk_matched_p20,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p55,3,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p05,31,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,heterogeneous_example,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p20,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p50,7,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p35,7,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p45,7,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
