baseline,candidate,direction,unit,n,mean,sd,median,p95,p99,minimum,maximum,ci_method,block_length,bootstrap_valid,bootstrap_requested,strata,strata_shorter_than_block,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,p95_ci_low,p95_ci_high,mean_relative_to_baseline_percent,ci_is_equivalence_test
shamir_3_5,gatl_uniform_3_5,candidate_minus_baseline,ms,1008,0.20734249107142858,6.575430982165779,0.1371895,10.981081799999995,19.05135766999998,-50.224359,49.624801,stratified_circular_block_percentile,14,2000,2000,3,0,-0.17515005498511904,0.6219537792906743,0.0611383375,0.239458,8.607352,14.574816849999992,0.3278555730364242,False
rs_2_5_gateway_check,gatl_gateway,candidate_minus_baseline,ms,1008,24.808458781746033,8.408309798909512,22.0395065,44.02914475,51.86328963999997,5.098127,69.209757,stratified_circular_block_percentile,14,2000,2000,3,0,24.38296667638889,25.261105751909717,21.757947212500003,22.24450935,42.77146369999999,45.24887959999999,142.67894913457198,False
